layer,head,value
14,8,0.40234375
14,9,0.21972656
14,10,0.37695312
14,11,0.3125
14,12,0.29101562
14,13,0.016845703
14,14,0.008300781
14,15,0.09033203
14,16,0.063964844
14,17,0.10546875
14,18,0.078125
14,19,0.029785156
14,20,0.29492188
14,21,0.28320312
14,22,0.36132812
14,23,0.18457031
14,24,0.671875
14,25,0.23632812
14,26,0.6171875
14,27,0.17773438
14,28,0.036865234
14,29,0.08496094
14,30,0.060546875
14,31,0.033447266
15,0,0.4921875
15,1,0.66015625
15,2,0.375
15,3,0.3515625
15,4,0.31054688
15,5,0.5078125
15,6,0.2734375
15,7,0.72265625
15,8,0.59375
15,9,0.3203125
15,10,0.57421875
15,11,0.67578125
15,12,0.060791016
15,13,0.040283203
15,14,0.12451172
15,15,0.04321289
15,16,0.64453125
15,17,0.4765625
15,18,0.60546875
15,19,0.32226562
15,20,0.095214844
15,21,0.08154297
15,22,0.12597656
15,23,0.09667969
15,24,0.016601562
15,25,0.28320312
15,26,0.12402344
15,27,0.68359375
15,28,0.57421875
15,29,0.39648438
15,30,0.25390625
15,31,0.26757812
16,0,0.05126953
16,1,0.30273438
16,2,0.17285156
16,3,0.26171875
16,4,0.28710938
16,5,0.3359375
16,6,0.20117188
16,7,0.6484375
16,8,0.15234375
16,9,0.18164062
16,10,0.265625
16,11,0.17773438
16,12,0.6640625
16,13,0.46875
16,14,0.34179688
16,15,0.17675781
16,16,0.234375
16,17,0.11425781
16,18,0.04663086
16,19,0.18066406
16,20,0.29101562
16,21,0.35351562
16,22,0.68359375
16,23,0.13183594
16,24,0.453125
16,25,0.30273438
16,26,0.07763672
16,27,0.24121094
16,28,0.22070312
16,29,0.59375
16,30,0.41601562
16,31,0.14648438
17,0,0.6953125
17,1,0.17480469
17,2,0.22558594
17,3,0.49023438
17,4,0.038085938
17,5,0.049560547
17,6,0.010498047
17,7,0.1953125
17,8,0.05834961
17,9,0.063964844
17,10,0.06347656
17,11,0.053222656
17,12,0.21972656
17,13,0.11035156
17,14,0.24609375
17,15,0.08984375
17,16,0.15917969
