layer,head,value
39,6,0.061523438
39,7,0.05029297
39,8,0.091308594
39,9,0.09082031
39,10,0.06591797
39,11,0.07324219
39,12,0.16113281
39,13,0.07519531
39,14,0.080566406
39,15,0.08105469
40,0,0.05517578
40,1,0.087890625
40,2,0.04321289
40,3,0.07324219
40,4,0.07910156
40,5,0.0546875
40,6,0.051513672
40,7,0.060058594
40,8,0.032958984
40,9,0.07080078
40,10,0.19042969
40,11,0.14941406
40,12,0.049072266
40,13,0.06738281
40,14,0.040771484
40,15,0.044921875
41,0,0.23339844
41,1,0.21972656
41,2,0.32226562
41,3,0.3984375
41,4,0.18261719
41,5,0.30273438
41,6,0.022338867
41,7,0.028076172
41,8,0.6484375
41,9,0.3203125
41,10,0.03857422
41,11,0.14941406
41,12,0.25195312
41,13,0.20117188
41,14,0.19042969
41,15,0.10107422
42,0,0.578125
42,1,0.26171875
42,2,0.099609375
42,3,0.13769531
42,4,0.037597656
42,5,0.06933594
42,6,0.3671875
42,7,0.061767578
42,8,0.1328125
42,9,0.1328125
42,10,0.05517578
42,11,0.088378906
42,12,0.484375
42,13,0.2578125
42,14,0.0703125
42,15,0.056152344
43,0,0.40429688
43,1,0.06640625
43,2,0.30078125
43,3,0.3671875
43,4,0.048339844
43,5,0.063964844
43,6,0.140625
43,7,0.27734375
43,8,0.095214844
43,9,0.03955078
43,10,0.056640625
43,11,0.05444336
43,12,0.15332031
43,13,0.49609375
43,14,0.078125
43,15,0.09765625
44,0,0.30078125
44,1,0.40625
44,2,0.24316406
44,3,0.083496094
44,4,0.4765625
44,5,0.31835938
44,6,0.20605469
44,7,0.06640625
44,8,0.06225586
44,9,0.056884766
44,10,0.578125
44,11,0.265625
44,12,0.053222656
44,13,0.05883789
44,14,0.059570312
44,15,0.048095703
45,0,0.34765625
45,1,0.58984375
45,2,0.28710938
45,3,0.5625
45,4,0.072265625
45,5,0.08935547
45,6,0.07910156
45,7,0.047851562
45,8,0.046142578
45,9,0.04711914
45,10,0.09667969
45,11,0.049560547
45,12,0.07861328
45,13,0.087890625
45,14,0.06689453
45,15,0.063964844
46,0,0.087890625
46,1,0.014038086
46,2,0.05908203
46,3,0.047851562
46,4,0.47265625
46,5,0.24902344
46,6,0.040527344
46,7,0.050048828
46,8,0.24707031
46,9,0.12011719
46,10,0.24707031
46,11,0.40625
46,12,0.057373047
46,13,0.125
46,14,0.125
46,15,0.04711914
47,0,0.048828125
47,1,0.12060547
47,2,0.1953125
47,3,0.140625
47,4,0.171875
47,5,0.003768921
47,6,0.1796875
47,7,0.29101562
47,8,0.037109375
47,9,0.011474609
47,10,0.18359375
47,11,0.13671875
47,12,0.031982422
47,13,0.023925781
47,14,0.17382812
47,15,0.15332031
