ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
resid_ablation_grad,N/A,0.5,85.87146853753075,128.0,116.41624513668648,30.54477659915574,0.0,0.0,75.1219512195122,0.0,410,0,12.136574074074074,-1.0,
resid_ablation,N/A,0.6,-0.43241273501189426,153.0,48.25714251882164,48.68955525383353,0.0,0.0,44.473007712082264,0.0,389,0,19.64351851851852,-1.0,
resid_ablation_control,N/A,0.6,110.0267285933005,153.0,134.6657153700944,24.6389867767939,0.0,0.0,79.22705314009661,0.0,414,0,11.108796296296296,-1.0,
resid_ablation_grad,N/A,0.6,82.89792365817993,153.0,111.86425057238375,28.96632691420382,0.0,0.0,70.93596059113301,0.0,406,0,13.42361111111111,-1.0,
resid_ablation,N/A,0.7,-18.364710093825124,179.0,38.79512758052442,57.159837674349546,0.0,0.0,39.740259740259745,0.0,385,0,20.24537037037037,-1.0,
resid_ablation_control,N/A,0.7,102.47181441995053,179.0,129.75239761593548,27.280583195984946,0.0,0.0,78.34549878345499,0.0,411,0,11.219907407407407,-1.0,
resid_ablation_grad,N/A,0.7,72.55159292380995,179.0,103.59938487211912,31.047791948309168,0.0,0.0,67.4937965260546,0.0,403,0,14.599537037037036,-1.0,
resid_ablation,N/A,0.8,-44.97865334880771,204.0,27.610891308810096,72.58954465761781,0.0,0.0,27.621483375959077,0.0,391,0,19.77777777777778,-1.0,
resid_ablation_control,N/A,0.8,89.12573507779598,204.0,118.71614183170459,29.59040675390861,0.0,0.0,72.77108433734941,0.0,415,0,11.25925925925926,-1.0,
resid_ablation_grad,N/A,0.8,51.52753467268849,204.0,89.4087960771758,37.881261404487304,0.0,0.0,61.30653266331658,0.0,398,0,15.86111111111111,-1.0,
resid_ablation,N/A,0.9,-68.66915451176465,230.0,18.025301730260253,86.6944562420249,0.0,0.0,18.734177215189874,0.0,395,0,18.787037037037038,-1.0,
resid_ablation_control,N/A,0.9,67.4187265640794,230.0,108.25784162670607,40.83911506262666,0.0,0.0,65.27093596059113,0.0,406,0,13.083333333333334,-1.0,
resid_ablation_grad,N/A,0.9,11.765996261587134,230.0,65.4342834893614,53.66828722777427,0.0,0.0,48.484848484848484,0.0,396,0,17.819444444444443,-1.0,
resid_ablation,N/A,1.0,-97.58497104980052,256.0,4.378628021106124,101.96359907090664,0.0,0.0,6.067961165048544,0.0,412,0,12.1875,-1.0,
resid_ablation_control,N/A,1.0,-97.58497104980052,256.0,4.378628021106124,101.96359907090664,0.0,0.0,6.067961165048544,0.0,412,0,12.1875,-1.0,
resid_ablation_grad,N/A,1.0,-97.58497104980052,256.0,4.378628021106124,101.96359907090664,0.0,0.0,6.067961165048544,0.0,412,0,12.1875,-1.0,
