model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
LLaVA-NeXT,llava-next,4,18,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,4,19,47.24770784378052,-2.75229215621948,Other
LLaVA-NeXT,llava-next,4,20,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,4,21,46.788990497589126,-3.2110095024108802,Other
LLaVA-NeXT,llava-next,4,22,51.83486342430113,1.83486342430114,Other
LLaVA-NeXT,llava-next,4,23,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,4,24,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,4,25,49.311923980712905,-0.6880760192871,Other
LLaVA-NeXT,llava-next,4,26,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,4,27,47.477066516876235,-2.52293348312377,Other
LLaVA-NeXT,llava-next,4,28,48.85321259498597,-1.1467874050140299,Other
LLaVA-NeXT,llava-next,4,29,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,4,30,50.917431712150574,0.91743171215057,Other
LLaVA-NeXT,llava-next,4,31,51.37614607810974,1.37614607810974,Other
LLaVA-NeXT,llava-next,5,0,50.45871436595915,0.45871436595916004,Other
LLaVA-NeXT,llava-next,5,1,52.981650829315186,2.98165082931518,Other
LLaVA-NeXT,llava-next,5,2,47.93577790260315,-2.0642220973968497,Other
LLaVA-NeXT,llava-next,5,3,53.211009502410874,3.2110095024108802,Other
LLaVA-NeXT,llava-next,5,4,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,5,5,51.14679038524626,1.14679038524627,Other
LLaVA-NeXT,llava-next,5,6,52.293577790260315,2.29357779026031,Other
LLaVA-NeXT,llava-next,5,7,48.62385392189026,-1.37614607810974,Other
LLaVA-NeXT,llava-next,5,8,50.2293586730957,0.22935867309570002,Other
LLaVA-NeXT,llava-next,5,9,49.770641326904304,-0.22935867309570002,Other
LLaVA-NeXT,llava-next,5,10,55.04587292671202,5.04587292671203,Other
LLaVA-NeXT,llava-next,5,11,46.33027315139771,-3.66972684860229,Other
LLaVA-NeXT,llava-next,5,12,39.90825414657593,-10.091745853424069,Other
LLaVA-NeXT,llava-next,5,13,53.66972386837004,3.66972386837005,Other
LLaVA-NeXT,llava-next,5,14,50.68807303905487,0.68807303905487,Other
LLaVA-NeXT,llava-next,5,15,50.0,-0.0,Other
