ExperimentDesc,% top pixel,threshold,LogitDiff,avg_num_pixel,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text
resid_ablation_intgrad,N/A,0.05,112.93208749189944,12.0,133.18509269126662,20.25300519936718,0.0,0.0,80.62953995157385,0.0,413,0,10.905311778290994,-1.0,
resid_ablation,N/A,0.07,98.36875969000539,17.0,123.2795777164065,24.910818026401103,0.0,0.0,76.82926829268293,0.0,410,0,12.034642032332563,-1.0,
resid_ablation_control,N/A,0.07,116.74741815033485,17.0,136.21641813355382,19.468999983218964,0.0,0.0,82.65060240963855,0.0,415,0,10.711316397228638,-1.0,
resid_ablation_grad,N/A,0.07,113.36283117029234,17.0,134.57263470764155,21.209803537349217,0.0,0.0,79.90430622009569,0.0,418,0,10.727482678983833,-1.0,
resid_ablation_intgrad,N/A,0.07,112.48217968278914,17.0,133.70850586841698,21.22632618562784,0.0,0.0,80.1452784503632,0.0,413,0,10.7459584295612,-1.0,
resid_ablation,N/A,0.1,89.73633171197434,25.0,118.03286255442072,28.296530842446373,0.0,0.0,75.61576354679804,0.0,406,0,13.004618937644342,-1.0,
resid_ablation_control,N/A,0.1,117.34697296835657,25.0,136.32177824356768,18.97480527521111,0.0,0.0,80.76923076923077,0.0,416,0,10.780600461893764,-1.0,
resid_ablation_grad,N/A,0.1,110.8512457734032,25.0,133.4520213471551,22.60077557375189,0.0,0.0,79.22705314009661,0.0,414,0,11.04849884526559,-1.0,
resid_ablation_intgrad,N/A,0.1,113.23644958465593,25.0,134.6146615157195,21.37821193106356,0.0,0.0,80.2439024390244,0.0,410,0,10.935334872979215,-1.0,
resid_ablation,N/A,0.2,66.27855669509881,51.0,97.93394005310256,31.655383358003746,0.0,0.0,67.75,0.0,400,0,14.524249422632794,-1.0,
resid_ablation_control,N/A,0.2,117.23272435489343,51.0,136.8925751804636,19.659850825570174,0.0,0.0,81.73076923076923,0.0,416,0,10.621247113163973,-1.0,
resid_ablation_grad,N/A,0.2,105.53367938732845,51.0,129.9222392954689,24.38855990814045,0.0,0.0,77.83132530120483,0.0,415,0,11.147806004618937,-1.0,
resid_ablation_intgrad,N/A,0.2,107.58376483176835,51.0,133.1126693659462,25.528904534177855,0.0,0.0,77.29468599033817,0.0,414,0,10.711316397228638,-1.0,
resid_ablation,N/A,0.3,46.595427817046584,76.0,82.09026128269034,35.49483346564375,0.0,0.0,63.5,0.0,400,0,16.28637413394919,-1.0,
resid_ablation_control,N/A,0.3,112.63771245654789,76.0,133.6858946660941,21.048182209546212,0.0,0.0,80.67632850241546,0.0,414,0,10.422632794457275,-1.0,
resid_ablation_grad,N/A,0.3,100.05710949312561,76.0,126.44124125401504,26.38413176088943,0.0,0.0,77.07317073170732,0.0,410,0,11.77136258660508,-1.0,
resid_ablation_intgrad,N/A,0.3,105.69666451471858,76.0,129.77772589144297,24.081061376724392,0.0,0.0,77.34939759036145,0.0,415,0,11.108545034642033,-1.0,
resid_ablation,N/A,0.4,34.15559933967597,102.0,71.84238181333058,37.6867824736546,0.0,0.0,57.868020304568525,0.0,394,0,18.145496535796767,-1.0,
resid_ablation_control,N/A,0.4,111.34810289906636,102.0,135.53472678674916,24.1866238876828,0.0,0.0,80.28846153846155,0.0,416,0,10.457274826789838,-1.0,
resid_ablation_grad,N/A,0.4,97.82236532179559,102.0,124.66314078802861,26.840775466233026,0.0,0.0,74.69586374695864,0.0,411,0,12.057736720554272,-1.0,
resid_ablation_intgrad,N/A,0.4,99.0366828434635,102.0,125.1867980742245,26.150115230761003,0.0,0.0,75.36231884057972,0.0,414,0,11.572748267898383,-1.0,
resid_ablation,N/A,0.5,15.201122242491692,128.0,60.129306020447984,44.92818377795629,0.0,0.0,49.36061381074169,0.0,391,0,19.08314087759815,-1.0,
resid_ablation_control,N/A,0.5,108.54338941747119,128.0,132.83754140974634,24.294151992275147,0.0,0.0,78.70813397129187,0.0,418,0,9.97690531177829,-1.0,
resid_ablation_grad,N/A,0.5,94.30442274049346,128.0,119.67682599487671,25.372403254383244,0.0,0.0,74.57627118644068,0.0,413,0,11.612009237875288,-1.0,
