AblationType,Gamma,Lambda,Image Cfact logit,Image Fact Logit,Text Cfact Logit,Text Fact Logit,Image Cfact>Fact,Text Cfact>Fact,Image Valid Examples,Text Valid Examples,Image Pos Higher,Text Pos Higher,indexes_cfact_gt_fact_text,k_heads
last-row-paired,3.0,-3.0,149.36086082458496,21.488807797431946,8.135180354118347,99.57840156555176,84.06466512702079,2.5522041763341066,433,431,3.2224770642201834,5.871559633027523,"[50, 65, 69, 70, 80, 130, 170, 253, 304, 411, 416]",20
last-row-paired,-3.0,3.0,9.665608406066895,43.58112907409668,6.556676626205444,80.23545360565186,18.105849582172702,3.7209302325581395,359,430,29.339449541284402,6.605504587155964,"[1, 40, 47, 100, 120, 124, 136, 204, 229, 256, 263, 288, 353, 364, 420]",30
last-row-paired,-2.5,2.5,13.584329068660736,51.00480782985687,6.773503303527832,84.54308938980103,21.90721649484536,2.331002331002331,388,429,22.5,6.165137614678899,"[1, 47, 100, 124, 204, 229, 256, 263, 353]",30
last-row-paired,-2.0,2.0,23.02293860912323,54.67962980270386,6.983051300048828,88.30761909484863,32.923832923832926,2.0930232558139537,407,430,16.5,5.6880733944954125,"[1, 47, 100, 124, 204, 229, 256, 263, 353]",30
last-row-paired,-1.0,1.0,81.67158019542694,44.02631330490112,7.170692205429077,95.05854368209839,64.58333333333334,1.3921113689095126,432,431,5.190366972477064,5.151376146788991,"[1, 124, 204, 229, 263]",30
last-row-paired,-0.5,0.5,109.72641491889954,37.38060238957405,7.106004238128662,97.83148288726807,73.90300230946882,1.1574074074074074,433,432,3.694954128440367,5.0,"[204, 263]",30
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],30
last-row-paired,0.5,-0.5,130.4406349658966,29.79660142213106,7.066139221191406,101.68759346008301,78.9838337182448,0.46403712296983757,433,431,3.135321100917431,4.8577981651376145,[411],30
last-row-paired,1.0,-1.0,134.92586255073547,26.975750006735325,7.002515912055969,102.93463516235352,81.2933025404157,1.3921113689095126,433,431,3.1743119266055047,4.908256880733945,"[69, 70, 130, 253, 411]",30
last-row-paired,1.5,-1.5,137.87874221801758,24.714614436030388,6.991473913192749,103.59750318527222,82.48847926267281,1.3921113689095126,434,431,3.2889908256880735,5.036697247706422,"[50, 69, 70, 130, 253, 411]",30
last-row-paired,2.0,-2.0,141.65981090068817,22.076089039444923,7.151800632476807,103.26876163482666,84.7926267281106,2.083333333333333,434,432,3.4105504587155964,5.254587155963303,"[50, 69, 70, 130, 159, 253, 256, 411]",30
last-row-paired,2.5,-2.5,144.89150309562683,20.10220657289028,7.847996830940247,101.77374839782715,85.41666666666666,2.7906976744186047,432,430,3.639908256880734,5.5389908256880735,"[6, 50, 69, 70, 130, 159, 253, 256, 411, 416]",30
last-row-paired,3.0,-3.0,148.1866356730461,18.222768172621727,8.280030250549316,99.6183557510376,86.11111111111111,3.0303030303030303,432,429,3.908256880733945,6.052752293577981,"[6, 50, 65, 69, 70, 80, 130, 159, 253, 256, 304, 411, 416]",30
last-row-paired,-3.0,3.0,6.487934112548828,34.60584545135498,6.5356831550598145,76.00667381286621,13.609467455621301,3.7209302325581395,338,430,35.908256880733944,6.75,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 357, 387, 420]",40
last-row-paired,-2.5,2.5,9.385960131883621,46.244385719299316,6.869960784912109,81.22440433502197,16.353887399463808,2.784222737819025,373,431,27.020642201834864,6.155963302752293,"[1, 40, 47, 100, 124, 204, 229, 256, 263, 353, 357, 420]",40
last-row-paired,-2.0,2.0,15.98747032880783,55.451037883758545,7.065658807754517,85.96130561828613,24.747474747474747,2.320185614849188,396,431,19.245412844036696,5.68348623853211,"[1, 47, 100, 124, 204, 229, 256, 263, 353, 420]",40
last-row-paired,-1.0,1.0,75.7582414150238,46.69794154167175,7.2099833488464355,94.0690689086914,59.49074074074075,1.6241299303944314,432,431,5.435779816513762,5.080275229357798,"[1, 124, 204, 229, 256, 263, 353]",40
last-row-paired,-0.5,0.5,108.57684135437012,38.22759062051773,7.170921325683594,97.24240303039551,73.44110854503464,1.1574074074074074,433,432,3.727064220183486,4.986238532110092,"[204, 229, 256, 263]",40
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],40
last-row-paired,0.5,-0.5,130.15244007110596,29.31092117726803,6.994258403778076,102.09373903274536,79.90762124711316,0.6960556844547563,433,431,3.1674311926605503,4.889908256880734,"[130, 253, 411]",40
last-row-paired,1.0,-1.0,133.51352679729462,26.14196404442191,6.924333810806274,103.44821166992188,81.75519630484989,0.6960556844547563,433,431,3.261467889908257,5.027522935779817,"[130, 253, 411]",40
last-row-paired,1.5,-1.5,136.36772549152374,23.348381467163563,6.945575475692749,103.88365173339844,84.06466512702079,1.6241299303944314,433,431,3.3256880733944953,5.247706422018348,"[50, 130, 159, 253, 411]",40
last-row-paired,2.0,-2.0,138.91269105672836,20.605692841112614,7.4397183656692505,102.93488264083862,84.7926267281106,2.088167053364269,434,431,3.522935779816514,5.628440366972477,"[50, 70, 130, 159, 253, 256, 411, 416]",40
last-row-paired,2.5,-2.5,141.71234488487244,18.353660985827446,8.215571761131287,101.14601707458496,85.41666666666666,3.0303030303030303,432,429,3.86697247706422,6.1077981651376145,"[6, 10, 50, 70, 80, 130, 159, 253, 256, 411, 416]",40
last-row-paired,3.0,-3.0,145.33410999178886,16.364361345767975,8.3841392993927,98.36830234527588,85.11627906976744,3.51288056206089,430,427,4.277522935779817,6.963302752293578,"[6, 50, 63, 65, 70, 80, 130, 159, 231, 253, 256, 304, 365, 411, 416]",40
last-row-paired,-3.0,3.0,5.515813112258911,32.34554898738861,6.538254261016846,76.5273084640503,12.101910828025478,4.186046511627907,314,430,40.00917431192661,6.736238532110092,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 288, 353, 387, 420]",50
last-row-paired,-2.5,2.5,8.696803987026215,44.68452525138855,6.815160751342773,81.82384204864502,13.812154696132598,3.488372093023256,362,430,29.454128440366972,6.114678899082569,"[1, 3, 40, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 387, 420]",50
last-row-paired,-2.0,2.0,14.635540902614594,55.461029052734375,7.007584095001221,86.58209371566772,21.93877551020408,2.784222737819025,392,431,20.025229357798164,5.651376146788991,"[1, 47, 100, 124, 194, 204, 229, 256, 263, 272, 353, 420]",50
last-row-paired,-1.0,1.0,72.91466641426086,47.924129247665405,7.213290214538574,94.44552421569824,58.23665893271461,1.6241299303944314,431,431,5.623853211009174,5.121559633027523,"[1, 124, 204, 229, 256, 263, 353]",50
last-row-paired,-0.5,0.5,108.239990234375,38.58644396066666,7.165868520736694,97.4401535987854,72.2863741339492,1.3888888888888888,433,432,3.7889908256880735,5.013761467889908,"[204, 229, 256, 263]",50
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],50
last-row-paired,0.5,-0.5,129.80748891830444,29.106793105602264,7.007315516471863,101.80497598648071,79.67667436489607,0.9259259259259258,433,432,3.153669724770642,4.9036697247706424,"[130, 253, 411]",50
last-row-paired,1.0,-1.0,132.7541093826294,25.741729363799095,6.942569255828857,102.66533899307251,81.5242494226328,1.160092807424594,433,431,3.2408256880733943,5.064220183486238,"[50, 130, 223, 253, 411]",50
last-row-paired,1.5,-1.5,135.06255102157593,22.420340836048126,7.032533526420593,102.56459045410156,84.98845265588915,1.3921113689095126,433,431,3.403669724770642,5.431192660550459,"[10, 50, 130, 223, 253, 411]",50
last-row-paired,2.0,-2.0,136.5317007303238,19.756890207529068,7.950927138328552,100.15681600570679,84.75750577367207,2.320185614849188,433,431,3.584862385321101,5.795871559633028,"[6, 10, 50, 130, 223, 253, 256, 304, 411, 416]",50
last-row-paired,2.5,-2.5,138.52225452661514,17.59849300980568,8.271971225738525,96.99048662185669,86.5429234338747,3.0232558139534884,431,430,3.981651376146789,6.419724770642202,"[6, 10, 50, 63, 80, 130, 170, 231, 253, 256, 304, 411, 416]",50
last-row-paired,3.0,-3.0,141.85803321003914,16.07469440996647,8.452795624732971,93.23829174041748,85.54778554778555,3.9719626168224296,429,428,4.5,7.497706422018348,"[6, 10, 50, 63, 65, 80, 130, 166, 170, 231, 253, 256, 304, 314, 365, 411, 416]",50
last-row-paired,-3.0,3.0,5.295974135398865,29.323036074638367,6.616602897644043,76.01184368133545,11.821086261980831,3.7209302325581395,313,430,42.10550458715596,6.759174311926605,"[1, 3, 40, 70, 100, 124, 194, 204, 229, 263, 272, 288, 353, 364, 387, 420]",60
last-row-paired,-2.5,2.5,8.874952912330627,43.73015522956848,6.813259601593018,81.31515216827393,14.088397790055248,3.4722222222222223,362,432,29.318807339449542,6.162844036697248,"[1, 40, 70, 100, 124, 194, 204, 229, 263, 272, 288, 353, 387, 420]",60
last-row-paired,-2.0,2.0,14.525490462779999,56.67836928367615,6.983338356018066,86.12775182723999,21.91435768261965,3.0162412993039442,397,431,20.48394495412844,5.73394495412844,"[1, 40, 70, 100, 124, 194, 204, 229, 263, 272, 353, 387, 420]",60
last-row-paired,-1.0,1.0,72.32011532783508,49.71830606460571,7.2108683586120605,94.41342258453369,55.4524361948956,1.6241299303944314,431,431,5.571100917431193,5.135321100917431,"[1, 124, 204, 229, 263, 353]",60
last-row-paired,-0.5,0.5,108.85335397720337,39.0911346077919,7.170929908752441,97.44694137573242,72.05542725173211,1.3888888888888888,433,432,3.782110091743119,4.988532110091743,"[124, 204, 229, 263]",60
last-row-paired,0.0,-0.0,123.36236000061035,33.05144399404526,7.099663019180298,99.89018821716309,77.18894009216591,0.4629629629629629,434,432,3.2224770642201834,4.8692660550458715,[],60
last-row-paired,0.5,-0.5,128.7086728811264,28.839972905814648,7.018750190734863,101.61386108398438,79.90762124711316,1.1574074074074074,433,432,3.197247706422018,4.9380733944954125,"[130, 223, 253, 256, 411]",60
last-row-paired,1.0,-1.0,130.52100276947021,25.399641763418913,6.949450969696045,102.5131368637085,81.79723502304147,1.6241299303944314,434,431,3.256880733944954,5.204128440366972,"[50, 130, 159, 223, 253, 256, 411]",60
last-row-paired,1.5,-1.5,132.02030682563782,22.008983254432678,7.045419692993164,101.95739316940308,84.33179723502305,1.8561484918793503,434,431,3.3440366972477062,5.63302752293578,"[10, 50, 130, 159, 223, 253, 411]",60
last-row-paired,2.0,-2.0,133.36011695861816,19.59376733005047,7.932246685028076,99.25478219985962,84.56221198156682,2.5522041763341066,434,431,3.596330275229358,6.144495412844036,"[6, 10, 50, 130, 159, 170, 223, 253, 256, 411, 416]",60
last-row-paired,2.5,-2.5,134.79917192459106,17.822053596377373,8.26582419872284,95.47262287139893,84.68677494199535,3.263403263403263,431,429,3.9908256880733943,7.036697247706422,"[6, 10, 50, 63, 65, 130, 159, 170, 223, 231, 253, 256, 411, 416]",60
last-row-paired,3.0,-3.0,137.44750395417213,16.282094784080982,8.364457726478577,90.11533403396606,85.34883720930233,4.235294117647059,430,425,4.651376146788991,8.545871559633028,"[6, 10, 41, 50, 63, 65, 130, 166, 170, 223, 231, 253, 256, 365, 379, 411, 416]",60
