model,model_slug,layer,head,factual_accuracy_pct,factual_preference_pct_points,head_group
Gemma3,gemma3,12,5,51.388889551162706,1.38888955116271,Other
Gemma3,gemma3,12,6,46.99074029922486,-3.00925970077514,Other
Gemma3,gemma3,12,7,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,12,8,55.55555522441864,5.55555522441864,Other
Gemma3,gemma3,12,9,52.083334326744065,2.08333432674407,Other
Gemma3,gemma3,12,10,44.67592835426331,-5.32407164573669,Other
Gemma3,gemma3,12,11,53.47222089767456,3.4722208976745597,Other
Gemma3,gemma3,12,12,47.68518805503846,-2.31481194496154,Other
Gemma3,gemma3,12,13,53.00925970077513,3.00925970077514,Other
Gemma3,gemma3,12,14,56.94444477558136,6.94444477558136,Other
Gemma3,gemma3,12,15,47.91666865348816,-2.08333134651184,Other
Gemma3,gemma3,13,0,55.09259402751921,5.09259402751922,Other
Gemma3,gemma3,13,1,49.53703880310059,-0.46296119689941,Other
Gemma3,gemma3,13,2,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,13,3,52.777779102325425,2.77777910232543,Other
Gemma3,gemma3,13,4,46.52777910232544,-3.4722208976745597,Other
Gemma3,gemma3,13,5,50.0,-0.0,Other
Gemma3,gemma3,13,6,51.62037014961241,1.62037014961242,Other
Gemma3,gemma3,13,7,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,13,8,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,13,9,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,13,10,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,13,11,52.546295523643494,2.5462955236434897,Other
Gemma3,gemma3,13,12,51.157405972480774,1.15740597248077,Other
Gemma3,gemma3,13,13,53.70370447635649,3.7037044763565,Other
Gemma3,gemma3,13,14,51.388889551162706,1.38888955116271,Other
Gemma3,gemma3,13,15,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,14,0,51.157405972480774,1.15740597248077,Other
Gemma3,gemma3,14,1,52.777779102325425,2.77777910232543,Other
Gemma3,gemma3,14,2,52.777779102325425,2.77777910232543,Other
Gemma3,gemma3,14,3,56.71296417713165,6.71296417713165,Other
Gemma3,gemma3,14,4,54.62962985038757,4.62962985038757,Other
Gemma3,gemma3,14,5,53.24074029922485,3.24074029922485,Other
Gemma3,gemma3,14,6,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,14,7,56.25,6.25,Other
Gemma3,gemma3,14,8,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,14,9,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,14,10,52.31481492519377,2.31481492519378,Other
Gemma3,gemma3,14,11,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,14,12,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,14,13,51.62037014961241,1.62037014961242,Other
Gemma3,gemma3,14,14,53.00925970077513,3.00925970077514,Other
Gemma3,gemma3,14,15,56.94444477558136,6.94444477558136,Other
Gemma3,gemma3,15,0,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,15,1,53.00925970077513,3.00925970077514,Other
Gemma3,gemma3,15,2,44.90740895271302,-5.092591047286979,Other
Gemma3,gemma3,15,3,50.0,-0.0,Other
Gemma3,gemma3,15,4,53.70370447635649,3.7037044763565,Other
Gemma3,gemma3,15,5,52.31481492519377,2.31481492519378,Other
Gemma3,gemma3,15,6,51.851850748062134,1.85185074806213,Other
Gemma3,gemma3,15,7,55.09259402751921,5.09259402751922,Other
Gemma3,gemma3,15,8,55.32407462596893,5.32407462596893,Other
Gemma3,gemma3,15,9,49.53703880310059,-0.46296119689941,Other
Gemma3,gemma3,15,10,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,15,11,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,15,12,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,15,13,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,15,14,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,15,15,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,16,0,52.31481492519377,2.31481492519378,Other
Gemma3,gemma3,16,1,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,16,2,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,16,3,44.67592835426331,-5.32407164573669,Other
Gemma3,gemma3,16,4,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,16,5,52.083334326744065,2.08333432674407,Other
Gemma3,gemma3,16,6,57.17592537403105,7.17592537403106,Other
Gemma3,gemma3,16,7,47.222220897674575,-2.77777910232543,Other
Gemma3,gemma3,16,8,52.083334326744065,2.08333432674407,Other
Gemma3,gemma3,16,9,51.851850748062134,1.85185074806213,Other
Gemma3,gemma3,16,10,46.759259700775154,-3.24074029922485,Other
Gemma3,gemma3,16,11,54.62962985038757,4.62962985038757,Other
Gemma3,gemma3,16,12,54.16666567325592,4.1666656732559195,Other
Gemma3,gemma3,16,13,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,16,14,53.24074029922485,3.24074029922485,Other
Gemma3,gemma3,16,15,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,17,0,45.60185074806214,-4.39814925193786,Other
Gemma3,gemma3,17,1,49.7685194015503,-0.2314805984497,Other
Gemma3,gemma3,17,2,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,17,3,47.68518805503846,-2.31481194496154,Other
Gemma3,gemma3,17,4,49.7685194015503,-0.2314805984497,Other
Gemma3,gemma3,17,5,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,17,6,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,17,7,52.777779102325425,2.77777910232543,Other
Gemma3,gemma3,17,8,46.99074029922486,-3.00925970077514,Other
Gemma3,gemma3,17,9,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,17,10,45.370370149612434,-4.62962985038757,Other
Gemma3,gemma3,17,11,48.14814925193787,-1.85185074806213,Other
Gemma3,gemma3,17,12,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,17,13,40.509259700775154,-9.49074029922485,Other
Gemma3,gemma3,17,14,45.833331346511855,-4.16666865348815,Other
Gemma3,gemma3,17,15,53.93518507480621,3.93518507480621,Other
Gemma3,gemma3,18,0,51.157405972480774,1.15740597248077,Other
Gemma3,gemma3,18,1,45.833331346511855,-4.16666865348815,Other
Gemma3,gemma3,18,2,45.833331346511855,-4.16666865348815,Other
Gemma3,gemma3,18,3,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,18,4,49.53703880310059,-0.46296119689941,Other
Gemma3,gemma3,18,5,46.29629850387574,-3.70370149612426,Other
Gemma3,gemma3,18,6,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,18,7,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,18,8,48.14814925193787,-1.85185074806213,Other
Gemma3,gemma3,18,9,48.611110448837294,-1.38888955116271,Other
Gemma3,gemma3,18,10,48.14814925193787,-1.85185074806213,Other
Gemma3,gemma3,18,11,55.09259402751921,5.09259402751922,Other
Gemma3,gemma3,18,12,47.68518805503846,-2.31481194496154,Other
Gemma3,gemma3,18,13,46.52777910232544,-3.4722208976745597,Other
Gemma3,gemma3,18,14,48.84259104728699,-1.15740895271301,Other
Gemma3,gemma3,18,15,49.30555820465088,-0.69444179534912,Other
Gemma3,gemma3,19,0,43.98148059844971,-6.01851940155029,Other
Gemma3,gemma3,19,1,51.851850748062134,1.85185074806213,Other
Gemma3,gemma3,19,2,51.388889551162706,1.38888955116271,Other
Gemma3,gemma3,19,3,51.157405972480774,1.15740597248077,Other
Gemma3,gemma3,19,4,49.53703880310059,-0.46296119689941,Other
Gemma3,gemma3,19,5,56.48148059844969,6.4814805984497,Other
Gemma3,gemma3,19,6,52.546295523643494,2.5462955236434897,Other
Gemma3,gemma3,19,7,53.00925970077513,3.00925970077514,Other
Gemma3,gemma3,19,8,49.7685194015503,-0.2314805984497,Other
Gemma3,gemma3,19,9,48.37962985038758,-1.62037014961242,Other
Gemma3,gemma3,19,10,50.694444775581346,0.69444477558135,Other
Gemma3,gemma3,19,11,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,19,12,47.45370149612427,-2.54629850387573,Other
Gemma3,gemma3,19,13,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,19,14,49.0740716457367,-0.9259283542632999,Other
Gemma3,gemma3,19,15,55.32407462596893,5.32407462596893,Other
Gemma3,gemma3,20,0,43.05555820465088,-6.944441795349119,Other
Gemma3,gemma3,20,1,46.52777910232544,-3.4722208976745597,Other
Gemma3,gemma3,20,2,50.23148059844969,0.2314805984497,Other
Gemma3,gemma3,20,3,60.87962985038757,10.87962985038757,Other
Gemma3,gemma3,20,4,47.68518805503846,-2.31481194496154,Other
Gemma3,gemma3,20,5,56.01851940155029,6.01851940155029,Other
Gemma3,gemma3,20,6,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,20,7,50.0,-0.0,Other
Gemma3,gemma3,20,8,54.16666567325592,4.1666656732559195,Other
Gemma3,gemma3,20,9,46.06481194496155,-3.93518805503845,Other
Gemma3,gemma3,20,10,50.46296417713165,0.46296417713164995,Other
Gemma3,gemma3,20,11,45.370370149612434,-4.62962985038757,Other
Gemma3,gemma3,20,12,54.86111044883728,4.86111044883728,Other
Gemma3,gemma3,20,13,51.157405972480774,1.15740597248077,Other
Gemma3,gemma3,20,14,54.39814925193785,4.39814925193786,Other
Gemma3,gemma3,20,15,44.67592835426331,-5.32407164573669,Other
